sk_plant,plant_code,plant_name,plant_pengirim
10069,B182,CNS-JAKBAR 2,8003
10070,B182,CNS-JAKBAR 2,1103
10071,B182,CNS-JAKBAR 2,1104
10072,B120,CNS-BR JAKUTPUS,8003
10073,B188,CNS - Pekayon,8003
10074,B181,CNS-Kebayoran Lama,1107
10075,B110,CNS-BR SERANG,8003
10076,B110,CNS-BR SERANG,1112
10077,B110,CNS-BR SERANG,1111
10078,B110,CNS-BR SERANG,1112
10079,B112,CNS-PANDEGLANG,1707
10080,B221,CNS-SB CIKUPA,1705
10081,B181,CNS-Kebayoran Lama,8003
10082,B181,CNS-Kebayoran Lama,1104
10083,B181,CNS-Kebayoran Lama,1103
10084,B181,CNS-Kebayoran Lama,1104
10085,B181,CNS-Kebayoran Lama,1103
10086,B182,CNS-JAKBAR 2,8003
10087,B182,CNS-JAKBAR 2,1111
10088,B185,CNS-BR JAKSEL,8003
10089,B130,CNS-BR TAMBUN,1707
10090,B120,CNS-BR JAKUTPUS,8003
10091,B120,CNS-BR JAKUTPUS,1109
10092,B181,CNS-Kebayoran Lama,1705
10093,B130,CNS-BR TAMBUN,1112
10094,B221,CNS-SB CIKUPA,1701
10095,B120,CNS-BR JAKUTPUS,8003
10096,B112,CNS-PANDEGLANG,8003
10097,B130,CNS-BR TAMBUN,1701
10098,B182,CNS-JAKBAR 2,1103
10099,B220,CNS-BR TANGERANG,1701
10100,B221,CNS-SB CIKUPA,1103
10101,B110,CNS-BR SERANG,8207
10102,B110,CNS-BR SERANG,8201
10103,B110,CNS-BR SERANG,8207
10104,B110,CNS-BR SERANG,8201
10105,B188,CNS - Pekayon,1705
10106,B186,CNS-MANGGARAI,1705
10107,B112,CNS-PANDEGLANG,1701
10108,B185,CNS-BR JAKSEL,1705
10109,B181,CNS-Kebayoran Lama,1701
10110,B185,CNS-BR JAKSEL,1705
10111,B182,CNS-JAKBAR 2,1707
10112,B181,CNS-Kebayoran Lama,8003
10113,B130,CNS-BR TAMBUN,1112
10114,B130,CNS-BR TAMBUN,8003
10115,B120,CNS-BR JAKUTPUS,1108
10116,B120,CNS-BR JAKUTPUS,1707
10117,B182,CNS-JAKBAR 2,8003
10118,B120,CNS-BR JAKUTPUS,8003
10119,B120,CNS-BR JAKUTPUS,1111
10120,B112,CNS-PANDEGLANG,8003
10121,B181,CNS-Kebayoran Lama,8003
10122,B220,CNS-BR TANGERANG,1111
10123,B113,CNS-RANGKASBITUNG,1701
10124,B188,CNS - Pekayon,1112
10125,B188,CNS - Pekayon,1109
10126,B130,CNS-BR TAMBUN,1601
10127,B182,CNS-JAKBAR 2,8003
10128,B130,CNS-BR TAMBUN,8201
10129,B182,CNS-JAKBAR 2,8201
10130,B181,CNS-Kebayoran Lama,1601
10131,B221,CNS-SB CIKUPA,8003
10132,B220,CNS-BR TANGERANG,8003
10133,B111,CNS-SP MALIMPING,8003
10134,B130,CNS-BR TAMBUN,1601
10135,B130,CNS-BR TAMBUN,1103
10136,B130,CNS-BR TAMBUN,1104
10137,B130,CNS-BR TAMBUN,8003
10138,B221,CNS-SB CIKUPA,1601
10139,B120,CNS-BR JAKUTPUS,8003
10140,B188,CNS - Pekayon,8003
10141,B188,CNS - Pekayon,1112
10142,B188,CNS - Pekayon,1111
10143,B113,CNS-RANGKASBITUNG,1707
10144,B220,CNS-BR TANGERANG,8003
10145,B120,CNS-BR JAKUTPUS,1707
10146,B110,CNS-BR SERANG,8003
10147,B181,CNS-Kebayoran Lama,1602
10148,B181,CNS-Kebayoran Lama,1601
10149,B182,CNS-JAKBAR 2,1112
10150,B182,CNS-JAKBAR 2,1111
10151,B188,CNS - Pekayon,1104
10152,B130,CNS-BR TAMBUN,8003
10153,B120,CNS-BR JAKUTPUS,8003
10154,B182,CNS-JAKBAR 2,8003
10155,B182,CNS-JAKBAR 2,8207
10156,B181,CNS-Kebayoran Lama,1601
10157,B181,CNS-Kebayoran Lama,8003
10158,B221,CNS-SB CIKUPA,1707
10159,B112,CNS-PANDEGLANG,1601
10160,B112,CNS-PANDEGLANG,1602
10161,B120,CNS-BR JAKUTPUS,1707
10162,B110,CNS-BR SERANG,8003
10163,B112,CNS-PANDEGLANG,8003
10164,B188,CNS - Pekayon,8003
10165,B185,CNS-BR JAKSEL,8003
10166,B220,CNS-BR TANGERANG,8003
10167,B185,CNS-BR JAKSEL,1111
10168,B185,CNS-BR JAKSEL,8003
10169,B182,CNS-JAKBAR 2,1707
10170,B220,CNS-BR TANGERANG,1707
10171,B188,CNS - Pekayon,1707
10172,B186,CNS-MANGGARAI,8003
10173,B181,CNS-Kebayoran Lama,8003
10174,B182,CNS-JAKBAR 2,8003
10175,B182,CNS-JAKBAR 2,1111
10176,B182,CNS-JAKBAR 2,1112
10177,B182,CNS-JAKBAR 2,8003
10178,B120,CNS-BR JAKUTPUS,8003
10179,B182,CNS-JAKBAR 2,8003
10180,B130,CNS-BR TAMBUN,8003
10181,B188,CNS - Pekayon,8003
10182,B188,CNS - Pekayon,1103
10183,B220,CNS-BR TANGERANG,1112
10184,B220,CNS-BR TANGERANG,8003
10185,B112,CNS-PANDEGLANG,1701
10186,B112,CNS-PANDEGLANG,8003
10187,B120,CNS-BR JAKUTPUS,1705
10188,B130,CNS-BR TAMBUN,1601
10189,B130,CNS-BR TAMBUN,1701
10190,B110,CNS-BR SERANG,1103
10191,B110,CNS-BR SERANG,1104
10192,B110,CNS-BR SERANG,1103
10193,B110,CNS-BR SERANG,8003
10194,B120,CNS-BR JAKUTPUS,8003
10195,B130,CNS-BR TAMBUN,8003
10196,B130,CNS-BR TAMBUN,1104
10197,B130,CNS-BR TAMBUN,1107
10198,B182,CNS-JAKBAR 2,8003
10199,B221,CNS-SB CIKUPA,8003
10200,B113,CNS-RANGKASBITUNG,8003
10201,B221,CNS-SB CIKUPA,1707
10202,B120,CNS-BR JAKUTPUS,1707
10203,B130,CNS-BR TAMBUN,8003
10204,B110,CNS-BR SERANG,1701
10205,B110,CNS-BR SERANG,8003
10206,B110,CNS-BR SERANG,1112
10207,B110,CNS-BR SERANG,1111
10208,B110,CNS-BR SERANG,8003
10209,B110,CNS-BR SERANG,1112
10210,B120,CNS-BR JAKUTPUS,8003
10211,B120,CNS-BR JAKUTPUS,1109
10212,B113,CNS-RANGKASBITUNG,8003
10213,B221,CNS-SB CIKUPA,1701
10214,B120,CNS-BR JAKUTPUS,8003
10215,B112,CNS-PANDEGLANG,8003
10216,B182,CNS-JAKBAR 2,1109
10217,B130,CNS-BR TAMBUN,1701
10218,B120,CNS-BR JAKUTPUS,8003
10219,B111,CNS-SP MALIMPING,1701
10220,B188,CNS - Pekayon,8003
10221,B220,CNS-BR TANGERANG,8201
10222,B220,CNS-BR TANGERANG,8207
10223,B220,CNS-BR TANGERANG,8201
10224,B220,CNS-BR TANGERANG,1707
10225,B110,CNS-BR SERANG,1601
10226,B220,CNS-BR TANGERANG,1107
10227,B120,CNS-BR JAKUTPUS,8003
10228,B120,CNS-BR JAKUTPUS,1705
10229,B130,CNS-BR TAMBUN,1601
10230,B110,CNS-BR SERANG,1103
10231,B110,CNS-BR SERANG,8003
10232,B120,CNS-BR JAKUTPUS,1112
10233,B185,CNS-BR JAKSEL,1707
10234,B110,CNS-BR SERANG,8003
10235,B220,CNS-BR TANGERANG,8003
10236,B188,CNS - Pekayon,1103
10237,B188,CNS - Pekayon,1104
10238,B221,CNS-SB CIKUPA,1103
10239,B185,CNS-BR JAKSEL,1701
10240,B221,CNS-SB CIKUPA,1707
10241,B182,CNS-JAKBAR 2,8003
10242,B182,CNS-JAKBAR 2,1112
10243,B188,CNS - Pekayon,1701
10244,B182,CNS-JAKBAR 2,8003
10245,B182,CNS-JAKBAR 2,1707
10246,B120,CNS-BR JAKUTPUS,1103
10247,B181,CNS-Kebayoran Lama,8003
10248,B112,CNS-PANDEGLANG,8003
10249,B110,CNS-BR SERANG,8201
10250,B120,CNS-BR JAKUTPUS,1103
10251,B120,CNS-BR JAKUTPUS,1705
10252,B181,CNS-Kebayoran Lama,1707
10253,B181,CNS-Kebayoran Lama,1705
10254,B130,CNS-BR TAMBUN,1112
10255,B130,CNS-BR TAMBUN,1111
10256,B130,CNS-BR TAMBUN,8003
10257,B120,CNS-BR JAKUTPUS,1101
10258,B120,CNS-BR JAKUTPUS,1107
10259,B185,CNS-BR JAKSEL,1112
10260,B113,CNS-RANGKASBITUNG,1601
10261,B188,CNS - Pekayon,1707
10262,B188,CNS - Pekayon,1112
10263,B188,CNS - Pekayon,1111
10264,B188,CNS - Pekayon,1112
10265,B113,CNS-RANGKASBITUNG,8003
10266,B113,CNS-RANGKASBITUNG,1111
10267,B113,CNS-RANGKASBITUNG,1112
10268,B113,CNS-RANGKASBITUNG,1111
10269,B220,CNS-BR TANGERANG,8201
10270,B220,CNS-BR TANGERANG,8207
10271,B112,CNS-PANDEGLANG,8003
10272,B181,CNS-Kebayoran Lama,8003
10273,B181,CNS-Kebayoran Lama,1109
10274,B220,CNS-BR TANGERANG,8003
10275,B220,CNS-BR TANGERANG,1111
10276,B220,CNS-BR TANGERANG,1112
10277,B188,CNS - Pekayon,1701
10278,B188,CNS - Pekayon,1702
10279,B110,CNS-BR SERANG,8003
10280,B110,CNS-BR SERANG,1109
10281,B130,CNS-BR TAMBUN,1601
10282,B182,CNS-JAKBAR 2,1701
10283,B130,CNS-BR TAMBUN,1111
10284,B130,CNS-BR TAMBUN,8003
10285,B182,CNS-JAKBAR 2,1112
10286,B182,CNS-JAKBAR 2,8003
10287,B182,CNS-JAKBAR 2,8201
10288,B221,CNS-SB CIKUPA,8003
10289,B111,CNS-SP MALIMPING,8003
10290,B130,CNS-BR TAMBUN,1601
10291,B130,CNS-BR TAMBUN,8003
10292,B220,CNS-BR TANGERANG,1111
10293,B220,CNS-BR TANGERANG,1112
10294,B220,CNS-BR TANGERANG,1601
10295,B220,CNS-BR TANGERANG,1701
10296,B220,CNS-BR TANGERANG,1707
10297,B110,CNS-BR SERANG,1109
10298,B110,CNS-BR SERANG,8003
10299,B120,CNS-BR JAKUTPUS,1707
10300,B181,CNS-Kebayoran Lama,1707
10301,B110,CNS-BR SERANG,1701
10302,B110,CNS-BR SERANG,1112
10303,B110,CNS-BR SERANG,8003
10304,B185,CNS-BR JAKSEL,1701
10305,B220,CNS-BR TANGERANG,8003
10306,B188,CNS - Pekayon,8003
10307,B188,CNS - Pekayon,1112
10308,B188,CNS - Pekayon,1111
10309,B220,CNS-BR TANGERANG,1601
10310,B220,CNS-BR TANGERANG,8207
10311,B120,CNS-BR JAKUTPUS,1103
10312,B120,CNS-BR JAKUTPUS,1104
10313,B120,CNS-BR JAKUTPUS,1107
10314,B120,CNS-BR JAKUTPUS,1601
10315,B120,CNS-BR JAKUTPUS,1602
10316,B110,CNS-BR SERANG,1705
10317,B220,CNS-BR TANGERANG,1705
10318,B186,CNS-MANGGARAI,1705
10319,B113,CNS-RANGKASBITUNG,1109
10320,B113,CNS-RANGKASBITUNG,8003
10321,B182,CNS-JAKBAR 2,1111
10322,B182,CNS-JAKBAR 2,1112
10323,B182,CNS-JAKBAR 2,8003
10324,B182,CNS-JAKBAR 2,1707
10325,B120,CNS-BR JAKUTPUS,1112
10326,B120,CNS-BR JAKUTPUS,1111
10327,B120,CNS-BR JAKUTPUS,8003
10328,B130,CNS-BR TAMBUN,1601
10329,B181,CNS-Kebayoran Lama,8003
10330,B120,CNS-BR JAKUTPUS,8003
10331,B113,CNS-RANGKASBITUNG,8003
10332,B130,CNS-BR TAMBUN,8003
10333,B130,CNS-BR TAMBUN,1705
10334,B130,CNS-BR TAMBUN,1701
10335,B110,CNS-BR SERANG,1701
10336,B110,CNS-BR SERANG,8003
10337,B110,CNS-BR SERANG,1112
10338,B110,CNS-BR SERANG,1103
10339,B110,CNS-BR SERANG,1104
10340,B182,CNS-JAKBAR 2,1112
10341,B182,CNS-JAKBAR 2,1111
10342,B130,CNS-BR TAMBUN,8003
10343,B220,CNS-BR TANGERANG,8003
10344,B185,CNS-BR JAKSEL,1104
10345,B182,CNS-JAKBAR 2,1707
10346,B181,CNS-Kebayoran Lama,8003
10347,B221,CNS-SB CIKUPA,1601
10348,B221,CNS-SB CIKUPA,1107
10349,B220,CNS-BR TANGERANG,8201
10350,B120,CNS-BR JAKUTPUS,1707
10351,B221,CNS-SB CIKUPA,1111
10352,B120,CNS-BR JAKUTPUS,8003
10353,B112,CNS-PANDEGLANG,8003
10354,B220,CNS-BR TANGERANG,1112
10355,B188,CNS - Pekayon,1601
10356,B181,CNS-Kebayoran Lama,1104
10357,B185,CNS-BR JAKSEL,1705
10358,B182,CNS-JAKBAR 2,1104
10359,B120,CNS-BR JAKUTPUS,8003
10360,B220,CNS-BR TANGERANG,8003
10361,B182,CNS-JAKBAR 2,1103
10362,B221,CNS-SB CIKUPA,8003
10363,B221,CNS-SB CIKUPA,1112
10364,B130,CNS-BR TAMBUN,8003
10365,B130,CNS-BR TAMBUN,1601
10366,B130,CNS-BR TAMBUN,1602
10367,B110,CNS-BR SERANG,8003
10368,B186,CNS-MANGGARAI,8003
10369,B221,CNS-SB CIKUPA,1601
10370,B221,CNS-SB CIKUPA,1101
10371,B221,CNS-SB CIKUPA,1108
10372,B221,CNS-SB CIKUPA,8003
10373,B220,CNS-BR TANGERANG,8003
10374,B130,CNS-BR TAMBUN,8003
10375,B221,CNS-SB CIKUPA,1601
10376,B221,CNS-SB CIKUPA,1112
10377,B112,CNS-PANDEGLANG,8003
10378,B182,CNS-JAKBAR 2,8003
10379,B220,CNS-BR TANGERANG,8003
10380,B220,CNS-BR TANGERANG,1112
10381,B112,CNS-PANDEGLANG,1707
10382,B130,CNS-BR TAMBUN,1107
10383,B130,CNS-BR TAMBUN,8003
10384,B182,CNS-JAKBAR 2,8003
10385,B220,CNS-BR TANGERANG,8003
10386,B113,CNS-RANGKASBITUNG,8003
10387,B113,CNS-RANGKASBITUNG,1109
10388,B188,CNS - Pekayon,8003
10389,B188,CNS - Pekayon,1112
10390,B188,CNS - Pekayon,1111
10391,B220,CNS-BR TANGERANG,8207
10392,B186,CNS-MANGGARAI,1707
10393,B130,CNS-BR TAMBUN,1112
10394,B130,CNS-BR TAMBUN,8003
10395,B130,CNS-BR TAMBUN,1701
10396,B221,CNS-SB CIKUPA,1601
10397,B120,CNS-BR JAKUTPUS,1701
10398,B221,CNS-SB CIKUPA,1109
10399,B221,CNS-SB CIKUPA,1112
10400,B110,CNS-BR SERANG,8003
10401,B186,CNS-MANGGARAI,1705
10402,B186,CNS-MANGGARAI,8003
10403,B221,CNS-SB CIKUPA,8003
10404,B221,CNS-SB CIKUPA,1112
10405,B221,CNS-SB CIKUPA,1111
10406,B220,CNS-BR TANGERANG,1705
10407,B221,CNS-SB CIKUPA,1107
10408,B221,CNS-SB CIKUPA,1101
10409,B221,CNS-SB CIKUPA,1103
10410,B221,CNS-SB CIKUPA,1707
10411,B130,CNS-BR TAMBUN,8003
10412,B120,CNS-BR JAKUTPUS,1101
10413,B120,CNS-BR JAKUTPUS,1107
10414,B120,CNS-BR JAKUTPUS,1108
10415,B120,CNS-BR JAKUTPUS,1701
10416,B185,CNS-BR JAKSEL,8003
10417,B113,CNS-RANGKASBITUNG,1601
10418,B112,CNS-PANDEGLANG,1101
10419,B112,CNS-PANDEGLANG,1108
10420,B113,CNS-RANGKASBITUNG,8003
10421,B188,CNS - Pekayon,8003
10422,B220,CNS-BR TANGERANG,8003
10423,B220,CNS-BR TANGERANG,1707
10424,B185,CNS-BR JAKSEL,1701
10425,B221,CNS-SB CIKUPA,1701
10426,B113,CNS-RANGKASBITUNG,1601
10427,B113,CNS-RANGKASBITUNG,1602
10428,B113,CNS-RANGKASBITUNG,1107
10429,B130,CNS-BR TAMBUN,8003
10430,B181,CNS-Kebayoran Lama,1701
10431,B181,CNS-Kebayoran Lama,1103
10432,B182,CNS-JAKBAR 2,8003
10433,B181,CNS-Kebayoran Lama,1601
10434,B112,CNS-PANDEGLANG,1701
10435,B188,CNS - Pekayon,8003
10436,B188,CNS - Pekayon,1701
10437,B185,CNS-BR JAKSEL,8207
10438,B220,CNS-BR TANGERANG,8003
10439,B112,CNS-PANDEGLANG,1601
10440,B120,CNS-BR JAKUTPUS,1701
10441,B112,CNS-PANDEGLANG,1701
10442,B185,CNS-BR JAKSEL,8003
10443,B110,CNS-BR SERANG,1707
10444,B185,CNS-BR JAKSEL,8201
10445,B185,CNS-BR JAKSEL,8207
10446,B221,CNS-SB CIKUPA,1103
10447,B130,CNS-BR TAMBUN,1707
10448,B110,CNS-BR SERANG,1707
10449,B110,CNS-BR SERANG,1701
10450,B110,CNS-BR SERANG,1601
10451,B186,CNS-MANGGARAI,8003
10452,B110,CNS-BR SERANG,8003
10453,B110,CNS-BR SERANG,1707
10454,B186,CNS-MANGGARAI,8003
10455,B182,CNS-JAKBAR 2,1103
10456,B181,CNS-Kebayoran Lama,1705
10457,B112,CNS-PANDEGLANG,8003
10458,B112,CNS-PANDEGLANG,1705
10459,B120,CNS-BR JAKUTPUS,1707
10460,B220,CNS-BR TANGERANG,1707
10461,B130,CNS-BR TAMBUN,1707
10462,B220,CNS-BR TANGERANG,1701
10463,B220,CNS-BR TANGERANG,1707
10464,B220,CNS-BR TANGERANG,8003
10465,B182,CNS-JAKBAR 2,8003
10466,B186,CNS-MANGGARAI,8003
10467,B185,CNS-BR JAKSEL,8003
10468,B130,CNS-BR TAMBUN,1112
10469,B130,CNS-BR TAMBUN,8003
10470,B120,CNS-BR JAKUTPUS,8003
10471,B120,CNS-BR JAKUTPUS,1112
10472,B112,CNS-PANDEGLANG,8003
10473,B181,CNS-Kebayoran Lama,8003
10474,B188,CNS - Pekayon,1701
10475,B112,CNS-PANDEGLANG,1108
10476,B120,CNS-BR JAKUTPUS,8003
10477,B120,CNS-BR JAKUTPUS,1112
10478,B182,CNS-JAKBAR 2,8003
10479,B220,CNS-BR TANGERANG,1701
10480,B221,CNS-SB CIKUPA,1601
10481,B130,CNS-BR TAMBUN,1601
10482,B130,CNS-BR TAMBUN,1602
10483,B182,CNS-JAKBAR 2,1701
10484,B221,CNS-SB CIKUPA,1107
10485,B182,CNS-JAKBAR 2,1601
10486,B221,CNS-SB CIKUPA,1701
10487,B113,CNS-RANGKASBITUNG,8003
10488,B220,CNS-BR TANGERANG,8201
10489,B185,CNS-BR JAKSEL,1601
10490,B120,CNS-BR JAKUTPUS,1707
10491,B181,CNS-Kebayoran Lama,8003
10492,B182,CNS-JAKBAR 2,1107
10493,B110,CNS-BR SERANG,1707
10494,B185,CNS-BR JAKSEL,8201
10495,B188,CNS - Pekayon,8003
10496,B185,CNS-BR JAKSEL,8201
10497,B185,CNS-BR JAKSEL,8207
10498,B110,CNS-BR SERANG,8003
10499,B130,CNS-BR TAMBUN,8201
10500,B130,CNS-BR TAMBUN,1601
10501,B182,CNS-JAKBAR 2,1707
10502,B221,CNS-SB CIKUPA,1103
10503,B220,CNS-BR TANGERANG,8003
10504,B220,CNS-BR TANGERANG,1104
10505,B220,CNS-BR TANGERANG,1103
10506,B181,CNS-Kebayoran Lama,1705
10507,B185,CNS-BR JAKSEL,1705
10508,B188,CNS - Pekayon,8003
10509,B111,CNS-SP MALIMPING,1701
10510,B221,CNS-SB CIKUPA,1701
10511,B181,CNS-Kebayoran Lama,8003
10512,B112,CNS-PANDEGLANG,8003
10513,B120,CNS-BR JAKUTPUS,8003
10514,B130,CNS-BR TAMBUN,8003
10515,B221,CNS-SB CIKUPA,1601
10516,B120,CNS-BR JAKUTPUS,8003
10517,B112,CNS-PANDEGLANG,1109
10518,B130,CNS-BR TAMBUN,1701
10519,B181,CNS-Kebayoran Lama,1707
10520,B181,CNS-Kebayoran Lama,1109
10521,B181,CNS-Kebayoran Lama,8003
10522,B130,CNS-BR TAMBUN,1111
10523,B182,CNS-JAKBAR 2,1112
10524,B221,CNS-SB CIKUPA,1701
10525,B220,CNS-BR TANGERANG,8003
10526,B120,CNS-BR JAKUTPUS,8201
10527,B120,CNS-BR JAKUTPUS,8207
10528,B120,CNS-BR JAKUTPUS,8201
10529,B182,CNS-JAKBAR 2,1107
10530,B185,CNS-BR JAKSEL,8003
10531,B110,CNS-BR SERANG,1701
10532,B112,CNS-PANDEGLANG,8003
10533,B182,CNS-JAKBAR 2,1701
10534,B186,CNS-MANGGARAI,1705
10535,B220,CNS-BR TANGERANG,1701
10536,B186,CNS-MANGGARAI,8003
10537,B188,CNS - Pekayon,8003
10538,B220,CNS-BR TANGERANG,8003
10539,B182,CNS-JAKBAR 2,1707
10540,B182,CNS-JAKBAR 2,8003
10541,B186,CNS-MANGGARAI,1701
10542,B221,CNS-SB CIKUPA,1103
10543,B120,CNS-BR JAKUTPUS,1601
10544,B188,CNS - Pekayon,1705
10545,B130,CNS-BR TAMBUN,8003
10546,B181,CNS-Kebayoran Lama,1705
10547,B185,CNS-BR JAKSEL,1705
10548,B221,CNS-SB CIKUPA,1107
10549,B110,CNS-BR SERANG,1601
10550,B182,CNS-JAKBAR 2,1109
10551,B181,CNS-Kebayoran Lama,8003
10552,B188,CNS - Pekayon,8003
10553,B110,CNS-BR SERANG,8201
10554,B110,CNS-BR SERANG,1705
10555,B120,CNS-BR JAKUTPUS,1103
10556,B220,CNS-BR TANGERANG,8003
10557,B113,CNS-RANGKASBITUNG,1601
10558,B112,CNS-PANDEGLANG,1601
10559,B113,CNS-RANGKASBITUNG,1701
10560,B120,CNS-BR JAKUTPUS,1707
10561,B120,CNS-BR JAKUTPUS,8003
10562,B182,CNS-JAKBAR 2,8003
10563,B182,CNS-JAKBAR 2,1601
10564,B110,CNS-BR SERANG,1601
10565,B186,CNS-MANGGARAI,8003
10566,B221,CNS-SB CIKUPA,1109
10567,B182,CNS-JAKBAR 2,1112
10568,B182,CNS-JAKBAR 2,8003
10569,B181,CNS-Kebayoran Lama,8003
10570,B188,CNS - Pekayon,1107
10571,B188,CNS - Pekayon,1701
10572,B188,CNS - Pekayon,8003
10573,B130,CNS-BR TAMBUN,1707
10574,B220,CNS-BR TANGERANG,1601
10575,B130,CNS-BR TAMBUN,8003
10576,B221,CNS-SB CIKUPA,1109
10577,B221,CNS-SB CIKUPA,1112
10578,B120,CNS-BR JAKUTPUS,1112
10579,B112,CNS-PANDEGLANG,8003
10580,B112,CNS-PANDEGLANG,1109
10581,B181,CNS-Kebayoran Lama,8003
10582,B110,CNS-BR SERANG,8003
10583,B112,CNS-PANDEGLANG,8003
10584,B110,CNS-BR SERANG,8201
10585,B120,CNS-BR JAKUTPUS,1705
10586,B181,CNS-Kebayoran Lama,8003
10587,B130,CNS-BR TAMBUN,8003
10588,B182,CNS-JAKBAR 2,8003
10589,B182,CNS-JAKBAR 2,1112
10590,B181,CNS-Kebayoran Lama,8003
10591,B220,CNS-BR TANGERANG,8003
10592,B120,CNS-BR JAKUTPUS,8207
10593,B110,CNS-BR SERANG,8201
10594,B220,CNS-BR TANGERANG,8003
10595,B185,CNS-BR JAKSEL,8003
10596,B185,CNS-BR JAKSEL,1112
10597,B186,CNS-MANGGARAI,8003
10598,B188,CNS - Pekayon,1107
10599,B113,CNS-RANGKASBITUNG,8003
10600,B185,CNS-BR JAKSEL,1705
10601,B185,CNS-BR JAKSEL,8003
10602,B130,CNS-BR TAMBUN,1107
10603,B182,CNS-JAKBAR 2,1111
10604,B182,CNS-JAKBAR 2,8003
10605,B185,CNS-BR JAKSEL,1705
10606,B220,CNS-BR TANGERANG,1112
10607,B220,CNS-BR TANGERANG,8003
10608,B221,CNS-SB CIKUPA,1705
10609,B112,CNS-PANDEGLANG,8003
10610,B186,CNS-MANGGARAI,8003
10611,B186,CNS-MANGGARAI,8201
10612,B220,CNS-BR TANGERANG,1103
10613,B220,CNS-BR TANGERANG,8003
10614,B221,CNS-SB CIKUPA,8003
10615,B120,CNS-BR JAKUTPUS,1109
10616,B113,CNS-RANGKASBITUNG,8003
10617,B220,CNS-BR TANGERANG,8003
10618,B221,CNS-SB CIKUPA,1112
10619,B120,CNS-BR JAKUTPUS,8003
10620,B112,CNS-PANDEGLANG,8003
10621,B113,CNS-RANGKASBITUNG,8003
10622,B220,CNS-BR TANGERANG,1701
10623,B112,CNS-PANDEGLANG,8003
10624,B221,CNS-SB CIKUPA,1107
10625,B182,CNS-JAKBAR 2,1601
10626,B188,CNS - Pekayon,1601
10627,B188,CNS - Pekayon,1107
10628,B113,CNS-RANGKASBITUNG,1109
10629,B113,CNS-RANGKASBITUNG,8003
10630,B112,CNS-PANDEGLANG,1101
10631,B182,CNS-JAKBAR 2,1701
10632,B110,CNS-BR SERANG,1602
10633,B186,CNS-MANGGARAI,8003
10634,B182,CNS-JAKBAR 2,1109
10635,B185,CNS-BR JAKSEL,8003
10636,B220,CNS-BR TANGERANG,1701
10637,B182,CNS-JAKBAR 2,8003
10638,B188,CNS - Pekayon,1103
10639,B182,CNS-JAKBAR 2,1103
10640,B188,CNS - Pekayon,8003
10641,B185,CNS-BR JAKSEL,8207
10642,B185,CNS-BR JAKSEL,1707
10643,B185,CNS-BR JAKSEL,8003
10644,B182,CNS-JAKBAR 2,8003
10645,B120,CNS-BR JAKUTPUS,8003
10646,B120,CNS-BR JAKUTPUS,1111
10647,B120,CNS-BR JAKUTPUS,8003
10648,B110,CNS-BR SERANG,8003
10649,B112,CNS-PANDEGLANG,8003
10650,B112,CNS-PANDEGLANG,1705
10651,B220,CNS-BR TANGERANG,1707
10652,B120,CNS-BR JAKUTPUS,1707
10653,B130,CNS-BR TAMBUN,1707
10654,B185,CNS-BR JAKSEL,1705
10655,B112,CNS-PANDEGLANG,1701
10656,B181,CNS-Kebayoran Lama,1701
10657,B220,CNS-BR TANGERANG,1701
10658,B220,CNS-BR TANGERANG,1707
10659,B220,CNS-BR TANGERANG,8003
10660,B182,CNS-JAKBAR 2,8201
10661,B182,CNS-JAKBAR 2,8207
10662,B186,CNS-MANGGARAI,8003
10663,B120,CNS-BR JAKUTPUS,1701
10664,B185,CNS-BR JAKSEL,8003
10665,B120,CNS-BR JAKUTPUS,8003
10666,B120,CNS-BR JAKUTPUS,1707
10667,B113,CNS-RANGKASBITUNG,8003
10668,B182,CNS-JAKBAR 2,1107
10669,B130,CNS-BR TAMBUN,1107
10670,B130,CNS-BR TAMBUN,8003
10671,B182,CNS-JAKBAR 2,8003
10672,B130,CNS-BR TAMBUN,8201
10673,B181,CNS-Kebayoran Lama,8003
10674,B113,CNS-RANGKASBITUNG,8003
10675,B112,CNS-PANDEGLANG,8003
10676,B112,CNS-PANDEGLANG,1109
10677,B181,CNS-Kebayoran Lama,8003
10678,B181,CNS-Kebayoran Lama,1109
10679,B181,CNS-Kebayoran Lama,8003
10680,B188,CNS - Pekayon,1701
10681,B188,CNS - Pekayon,1707
10682,B110,CNS-BR SERANG,8003
10683,B110,CNS-BR SERANG,1109
10684,B186,CNS-MANGGARAI,8003
10685,B221,CNS-SB CIKUPA,1707
10686,B130,CNS-BR TAMBUN,1701
10687,B130,CNS-BR TAMBUN,8003
10688,B181,CNS-Kebayoran Lama,1107
10689,B130,CNS-BR TAMBUN,1707
10690,B130,CNS-BR TAMBUN,1705
10691,B110,CNS-BR SERANG,8003
10692,B221,CNS-SB CIKUPA,1705
10693,B120,CNS-BR JAKUTPUS,8003
10694,B110,CNS-BR SERANG,8003
10695,B188,CNS - Pekayon,8003
10696,B220,CNS-BR TANGERANG,8003
10697,B185,CNS-BR JAKSEL,1705
10698,B110,CNS-BR SERANG,1701
10699,B188,CNS - Pekayon,1707
10700,B221,CNS-SB CIKUPA,1707
10701,B182,CNS-JAKBAR 2,1601
10702,B110,CNS-BR SERANG,1601
10703,B221,CNS-SB CIKUPA,1109
10704,B221,CNS-SB CIKUPA,1112
10705,B182,CNS-JAKBAR 2,1112
