sk_vendor,vendor_code,license_no,jenis_mobil
2970,0000505138,B 9790 TEW,BU/25CT02/HASAN
2971,0000503421,B 9689 PEU,1T.BUILT UP
2972,0000505138,B 9781 TEV,BUILT UP
2973,0000505138,B 9744 TEX,BUILT UP
2974,0000505138,B 9728 TEY,BU/25CT02/RIKI
2975,0000501246,B 9556 BEU,BU/GBCT01/RIKI
2976,0000505138,B 9939 TEW,BU/25CT02/RIKI
2977,0000503421,B 9887 PEU,BU/25JT08/INDRA
2978,0000505138,B 9034 TEV,1T.BUILT UP
2979,0000505138,B 9048 TEX,1.KUBIKASI
2980,0000505138,B 9469 TEV,BUILT UP
2981,0000505138,B 9114 TEV,Build Up
2982,0000505138,B 9744 TEX,1.KUBIKASI
2983,0000505138,B 9532 TEW,1.KUBIKASI
2984,0000505138,B 9114 TEV,Build Up
2985,0000505138,B 9744 TEX,1.KUBIKASI
2986,0000506766,D 9872 AE,2T.BUILT UP
2987,0000505138,B 9490 TEX,1.KUBIKASI
2988,0000503421,B 9296 PXS,1T.BUILT UP
2989,0000501246,B 9888 UO,1T.BUILT UP
2990,0000505145,N 7778 UQ,2T.BUILT UP
2991,0000505145,N 8495 UQ,2T.BUILT UP
2992,0000505138,B 9304 TEX,1.KUBIKASI
2993,0000503421,B 9732 PEU,1T.BUILT UP
2994,0000503421,B 9028 PXS,1T.BUILT UP
2995,0000505138,B 9712 TEV,BU/25CT02/DEDI
2996,0000501246,B 9636 BEU,BUILT UP
2997,0000503421,B 9298 PXS,3T.BUILT UP
2998,0000505339,B 9641 BXS,1T.BUILT UP
2999,0000505339,B 9638 BXS,1T.BUILT UP
3000,0000505339,B 9395 BXS,3T.BUILT UP
3001,0000505339,B 9638 BXS,1T.BUILT UP
3002,0000502777,B 9618 VS,1T.BUILT UP
3003,0000503421,B 9279 PXS,1T.BUILT UP
3004,0000503421,B 9290 PXS,1T.BUILT UP
3005,0000503421,B 9561 PEU,BU/25JT08/ANDRI
3006,0000505138,B 9947 TEY,BU/25CB03/DEDI
3007,0000505138,B 9992 TEW,BU/25CB03/DEDI
3008,0000505138,B 9947 TEY,BU/25CB03/DEDI
3009,0000503421,B 9735 PEU,BU/25JJ05/ANDRI
3010,0000503421,B 9530 PEU,1T.BUILT UP
3011,0000505138,B 9580 TEY,BU/25JT08/ANDRI
3012,0000502019,B 9717 FEU,1T.BUILT UP
3013,0000505138,B 9790 TEW,BU/25CT02/HASAN
3014,0000503421,B 9284 PXS,1T.BUILT UP
3015,0000505138,B 9025 TEX,1.KUBIKASI
3016,0000505138,B 9594 TEW,BU/25JT08/ANDRI
3017,0000502019,BE 9313 ND,BU/GTCT01/RIKI
3018,0000505769,B 9388 FYU,BU/GBCT01/RIKI
3019,0000505138,B 9494 TEV,KUBIKASI
3020,0000502777,B 9618 KA,1T.BUILT UP
3021,0000505138,B 9469 TEV,BUILT UP
3022,0000505138,B 9421 TEW,1.KUBIKASI
3023,0000502019,BE 9187 CB,BU/GTCT01/HASAN
3024,0000505138,B 9967 TEV,BU/25JT08/ANDRI
3025,0000505138,B 9365 TEW,1.KUBIKASI
3026,0000505138,B 9019 TEX,BU/25JT08/INDRA
3027,0000505138,B 9623 TEX,1.KUBIKASI
3028,0000503421,B 9689 PEU,1T.BUILT UP
3029,0000505138,B 9034 TEV,1T.BUILT UP
3030,0000505138,B 9490 TEX,1.KUBIKASI
3031,0000503421,B 9655 PEU,1T.BUILT UP
3032,0000501246,B 9658 BEU,1T.BUILT UP
3033,0000505138,B 9421 TEW,1.KUBIKASI
3034,0000503421,B 9298 PXS,3T.BUILT UP
3035,0000505138,B 9230 TEV,KUBIKASI
3036,0000503421,B 9279 PXS,1T.BUILT UP
3037,0000503421,B 9510 PEU,3T.BUILT UP
3038,0000503421,B 9279 PXS,1T.BUILT UP
3039,0000505733,B 9074 VEU,1.KUBIKASI
3040,0000505138,B 9951 TEY,BUILT UP
3041,0000505339,B 9395 BXS,3T.BUILT UP
3042,0000505339,B 9638 BXS,1T.BUILT UP
3043,0000502777,B 9618 VS,1T.BUILT UP
3044,0000507018,N 8074 UV,BU/25CT02/HASAN
3045,0000503421,B 9724 PEU,1T.BUILT UP
3046,0000503421,B 9745 PEU,2T.BUILT UP
3047,0000503421,B 9284 PXS,1T.BUILT UP
3048,0000505138,B 9304 TEX,1.KUBIKASI
3049,0000503421,B 9298 PXS,BUILT UP
3050,0000507018,N 8869 UW,BU/25CT02/RIKI
3051,0000506766,D 9893 AE,2T.BUILT UP
3052,0000506766,D 9016 AG,2T.BUILT UP
3053,0000506766,D 9893 AE,2T.BUILT UP
3054,0000505138,B 9059 TEY,BU/25CT02/HASAN
3055,0000507018,N 8074 UV,BU/25CT02/RIKI
3056,0000505138,B 9371 TEW,BU/25JT08/INDRA
3057,0000505339,B 9395 BXS,3T.BUILT UP
3058,0000503421,B 9284 PXS,1T.BUILT UP
3059,0000505138,B 9469 TEV,BU/25CT02/RIKI
3060,0000507018,N 9925 UW,BU/25CT02/RIKI
3061,0000505138,B 9913 TEW,BU/25CT02/HASAN
3062,0000505138,B 9018 TEV,BU/25CT02/DEDI
3063,0000505138,B 9842 TEY,1.KUBIKASI
3064,0000504927,B 9035 ZEU,BU/20KT01/AWAN
3065,0000503421,B 9279 PXS,1T.BUILT UP
3066,0000503421,B 9962 PXR,1T.BUILT UP
3067,0000505145,N 8495 UQ,2T.BUILT UP
3068,0000502777,B 9618 KA,1T.BUILT UP
3069,0000502777,B 9225 BEU,1T.BUILT UP
3070,0000505138,B 9047 TEY,1.KUBIKASI
3071,0000505138,B 9460 TEY,1.KUBIKASI
3072,0000505138,B 9866 TEY,1.KUBIKASI
3073,0000505138,B 9967 TEV,BU/25JT08/ANDRI
3074,0000505769,D 9875 AE,BU/GBCT01/HASAN
3075,0000503421,B 9279 PXS,1T.BUILT UP
3076,0000503421,B 9955 PXR,1T.BUILT UP
3077,0000505138,B 9796 TEX,BU/25CT02/RIKI
3078,0000503421,B 9296 PXS,1T.BUILT UP
3079,0000505138,B 9304 TEX,1.KUBIKASI
3080,0000505138,B 9047 TEY,1.KUBIKASI
3081,0000503421,B 9279 PXS,1T.BUILT UP
3082,0000503421,B 9955 PXR,1T.BUILT UP
3083,0000503421,B 9634 PEU,BU/20CT02/RIKI
3084,0000503421,B 9802 PEU,BU/25CT02/RIKI
3085,0000503421,B 9296 PXS,1T.BUILT UP
3086,0000503421,B 9655 PEU,1T.BUILT UP
3087,0000505138,B 9122 TEV,BU/25CT02/DEDI
3088,0000505138,B 9148 TEY,1.KUBIKASI
3089,0000503421,B 9296 PXS,1T.BUILT UP
3090,0000505138,B 9494 TEV,1.KUBIKASI
3091,0000505138,B 9048 TEX,1.KUBIKASI
3092,0000505733,B 9679 PEU,BU/25JT08/ANDRI
3093,0000505138,B 9148 TEY,1.KUBIKASI
3094,0000503421,B 9284 PXS,1T.BUILT UP
3095,0000507018,N 9925 UW,BU/25CT02/DEDI
3096,0000505138,B 9230 TEV,1.KUBIKASI
3097,0000505138,B 9194 TEX,BU/25JT08/INDRA
3098,0000503421,B 9284 PXS,1T.BUILT UP
3099,0000505138,B 9951 TEV,1.KUBIKASI
3100,0000505138,B 9338 TXT,BU/DCT037/HASAN
3101,0000505138,B 9590 TEW,BU/25CT02/HASAN
3102,0000505138,B 9905 TEV,BU/25CT02/RIKI
3103,0000503421,B 9632 PEU,BU/25CJ01/HASAN
3104,0000503421,B 9768 PEU,1T.BUILT UP
3105,0000505138,B 9489 TEV,KUBIKASI
3106,0000505138,B 9712 TEV,BU/25CT02/RIKI
3107,0000505138,B 9590 TEW,BU/25JB19/INDRA
3108,0000505963,B 9003 ZEU,1T.BUILT UP
3109,0000504927,B 9627 BEU,BU/20KT06/FADIL
3110,0000505339,B 9395 BXS,1T.BUILT UP
3111,0000503421,B 9263 PXS,1T.BUILT UP
3112,0000502019,B 9144 BEV,1T.BUILT UP
3113,0000506766,D 9893 AE,2T.BUILT UP
3114,0000505138,B 9562 TEW,Build Up
3115,0000503421,B 9790 PEU,BU/25JT08/ANDRI
3116,0000503421,B 9298 PXS,1T.BUILT UP
3117,0000503421,B 9533 PEU,1T.BUILT UP
3118,0000503421,B 9634 PEU,BUILT UP
3119,0000505138,B 9062 TEY,Kubikasi
3120,0000505138,B 9010 TEY,1T.BUILT UP
3121,0000503421,B 9802 PEU,1T.BUILT UP
3122,0000505138,B 9439 TEW,1.KUBIKASI
3123,0000505138,B 9115 TEW,1.KUBIKASI
3124,0000503421,B 9530 PEU,1T.BUILT UP
3125,0000503421,B 9290 PXS,1T.BUILT UP
3126,0000503421,B 9505 PEU,1T.BUILT UP
3127,0000501246,B 9438 BEU,1T.BUILT UP
3128,0000503421,B 9724 PEU,1T.BUILT UP
3129,0000503421,B 9530 PEU,2T.BUILT UP
3130,0000503421,B 9745 PEU,2T.BUILT UP
3131,0000505138,B 9047 TEY,KUBIKASI
3132,0000505138,B 9195 TEV,KUBIKASI
3133,0000502019,B 9894 BEU,2T.BUILT UP
3134,0000504927,B 9039 NEU,BU/20KT01/FADIL
3135,0000505339,B 9641 BXS,3T.BUILT UP
3136,0000501246,B 9636 BEU,1T.BUILT UP
3137,0000503421,B 9279 PXS,1T.BUILT UP
3138,0000506766,D 9893 AE,2T.BUILT UP
3139,0000503421,B 9962 PXR,1T.BUILT UP
3140,0000505145,N 8495 UQ,2T.BUILT UP
3141,0000503421,B 9298 PXS,1T.BUILT UP
3142,0000505138,B 9195 TEX,BU/25JT08/ANDRI
3143,0000505138,B 9032 TEY,1T.BUILT UP
3144,0000503421,B 9693 PEU,1T.BUILT UP
3145,0000505138,B 9027 TEX,1KUBIKASI
3146,0000501246,B 9693 UEV,1T.BUILT UP
3147,0000505138,B 9027 TEX,1KUBIKASI
3148,0000506766,D 9893 AE,2T.BUILT UP
3149,0000505138,B 9781 TEV,1.KUBIKASI
3150,0000503421,B 9298 PXS,1T.BUILT UP
3151,0000505138,B 9230 TEV,1.KUBIKASI
3152,0000505138,B 9494 TEV,Build Up
3153,0000505138,B 9034 TEY,BU/25CT02/RIKI
3154,0000505138,B 9138 TEY,BU/25JT08/ANDRI
3155,0000505138,B 9590 TEW,BU/25CT02/RIKI
3156,0000505138,B 9077 TEY,BU/25CT02/RIKI
3157,0000503421,B 9296 PXS,1T.BUILT UP
3158,0000503421,B 9298 PXS,1T.BUILT UP
3159,0000505138,B 9027 TEX,1T.BUILT UP
3160,0000503421,B 9298 PXS,1T.BUILT UP
3161,0000503421,B 9654 PEU,1T.BUILT UP
3162,0000505138,B 9469 TEV,BU/25CT02/RIKI
3163,0000507018,N 9925 UW,BU/25CT02/RIKI
3164,0000503421,B 9298 PXS,1T.BUILT UP
3165,0000505138,B 9939 TEV,1.KUBIKASI
3166,0000503421,B 9655 PEU,1T.BUILT UP
3167,0000503421,B 9694 PEU,BU/25JT08/INDRA
3168,0000505138,B 9469 TEV,BU/25CT02/DEDI
3169,0000502777,B 9618 KA,1T.BUILT UP
3170,0000501246,B 9438 BEU,1T.BUILT UP
3171,0000505733,B 9089 VEU,1.KUBIKASI
3172,0000505733,B 9091 VEU,1.KUBIKASI
3173,0000505145,N 8571 UR,2T.BUILT UP
3174,0000505138,B 9148 TEV,1T.BUILT UP
3175,0000503421,B 9646 PEU,BU/25JT08/INDRA
3176,0000505138,B 9365 TEW,BU/25JT08/ANDRI
3177,0000505138,B 9148 TEV,Build Up
3178,0000503421,B 9298 PXS,1T.BUILT UP
3179,0000502019,B 9679 KEU,2T.BUILT UP
3180,0000505339,B 9641 BXS,1T.BUILT UP
3181,0000503421,B 9785 PEU,2T.BUILT UP
3182,0000503421,B 9644 PEU,BU/25CB03/RIKI
3183,0000503421,B 9279 PXS,1T.BUILT UP
3184,0000505138,B 9062 TEY,BU/25JT08/ANDRI
3185,0000503421,B 9724 PEU,1T.BUILT UP
3186,0000505138,B 9780 TEW,1.KUBIKASI
3187,0000505138,B 9590 TEW,1KUBIKASI
3188,0000505138,B 9112 TEZ,KUBIKASI
3189,0000502019,B 9649 KEU,2T.BUILT UP
3190,0000503421,B 9634 PEU,3T.BUILT UP
3191,0000503421,B 9505 PEU,3T.BUILT UP
3192,0000505138,B 9916 TEY,BU/25JT08/ANDRI
3193,0000505138,B 9653 TEV,BU/25JT08/ANDRI
3194,0000505963,T 9401 DL,1T.BUILT UP
3195,0000505138,B 9032 TEY,BUILT UP
3196,0000505138,B 9371 TEW,1.KUBIKASI
3197,0000501246,B 9656 UIU,BU/GBCT01/HASAN
3198,0000503421,B 9265 PXS,3T.BUILT UP
3199,0000505138,B 9897 TEU,BU/25Ct02/DEDI
3200,0000503421,B 9764 PEU,BU/25CB03/DEDI
3201,0000503763,B 9275 TEZ,BU/25CB03/DEDI
3202,0000505339,B 9395 BXS,3T.BUILT UP
3203,0000504927,B 9035 ZEU,BU/20KT01/AWAN
3204,0000505138,B 9114 TEV,Build Up
3205,0000503421,B 9279 PXS,1T.BUILT UP
3206,0000506766,D 9893 AE,2T.BUILT UP
3207,0000505138,B 9010 TEY,Build Up
3208,0000506766,D 9893 AE,2T.BUILT UP
3209,0000505138,B 9134 TEY,BU/25CT02/DEDI
3210,0000505138,B 9483 TEV,BU/25JT08/INDRA
3211,0000503421,B 9962 PXR,1T.BUILT UP
3212,0000505145,N 8713 US,2T.BUILT UP
3213,0000503421,B 9296 PXS,1T.BUILT UP
3214,0000505138,B 9951 TEV,1.KUBIKASI
3215,0000502777,B 9618 KA,1T.BUILT UP
3216,0000505138,B 9036 TEV,Build Up
3217,0000505138,B 9409 TEV,BU/25CT02/RIKI
3218,0000505138,B 9163 TEY,BU/25CT02/DEDI
3219,0000505138,B 9321 TEW,BU/25JT08/INDRA
3220,0000503421,B 9284 PXS,1T.BUILT UP
3221,0000505138,B 9951 TEV,1.KUBIKASI
3222,0000505467,B 9064 UEV,BU/20CT08/ANDRI
3223,0000505138,B 9195 TEX,BU/25JT08/ANDRI
3224,0000506766,D 9872 AE,2T.BUILT UP
3225,0000502777,B 9013 BEU,1T.BUILT UP
3226,0000505138,B 9494 TEV,1.KUBIKASI
3227,0000505138,B 9027 TEX,1KUBIKASI
3228,0000505138,B 9573 TEY,KUBIKASI
3229,0000503421,B 9296 PXS,1T.BUILT UP
3230,0000505138,B 9562 TEY,1.KUBIKASI
3231,0000505138,B 9277 TEW,BU/25JT08/INDRA
3232,0000505138,B 9796 TEX,BU/25CT02/RIKI
3233,0000502019,BE 9148 CN,2T.BUILT UP
3234,0000505138,B 9148 TEY,1.KUBIKASI
3235,0000502777,B 9155 BEU,1T.BUILT UP
3236,0000507018,N 9925 UW,BU/25CT02/RIKI
3237,0000505138,B 9790 TEW,1.KUBIKASI
3238,0000505138,B 9996 TEY,BU/25CT02/RIKI
3239,0000505138,B 9887 TEU,1.KUBIKASI
3240,0000505138,B 9977 TEW,Kubikasi
3241,0000505138,B 9032 TEY,Build Up
3242,0000507018,N 8066 UV,BU/25CT02/HASAN
3243,0000505138,B 9834 TEU,BU/25CT02/HASAN
3244,0000505138,B 9826 TEU,BU/25JT08/INDRA
3245,0000505138,B 9831 TEV,BU/25CT02/HASAN
3246,0000503421,B 9296 PXS,1T.BUILT UP
3247,0000505138,B 9238 TEX,1.KUBIKASI
3248,0000505138,B 9490 TEX,1.KUBIKASI
3249,0000505138,B 9035 TEY,1.KUBIKASI
3250,0000503421,B 9298 PXS,1T.BUILT UP
3251,0000503421,B 9284 PXS,1T.BUILT UP
3252,0000505138,B 9148 TEY,1.KUBIKASI
3253,0000503421,B 9298 PXS,1T.BUILT UP
3254,0000507018,N 9925 UW,BU/25CT02/RIKI
3255,0000505138,B 9230 TEV,1.KUBIKASI
3256,0000505963,T 9401 DL,1T.BUILT UP
3257,0000503421,B 9731 PEU,1T.BUILT UP
3258,0000505339,B 9395 BXS,1T.BUILT UP
3259,0000503421,B 9298 PXS,1T.BUILT UP
3260,0000503421,B 9279 PXS,1T.BUILT UP
3261,0000503421,B 9530 PEU,2T.BUILT UP
3262,0000503421,B 9284 PXS,1T.BUILT UP
3263,0000503421,B 9298 PXS,BUILT UP
3264,0000503421,B 9263 PXS,1T.BUILT UP
3265,0000503421,B 9298 PXS,BUILT UP
3266,0000502019,B 9859 BEU,1T.BUILT UP
3267,0000505138,B 9951 TEV,1.KUBIKASI
3268,0000503421,B 9279 PXS,BUILT UP
3269,0000505138,B 9361 TEW,1.KUBIKASI
3270,0000503421,B 9298 PXS,1T.BUILT UP
3271,0000505138,B 9503 TEX,BUILT UP
3272,0000503421,B 9296 PXS,2T.BUILT UP
3273,0000505339,B 9395 BXS,3T.BUILT UP
3274,0000502777,B 9618 VS,1T.BUILT UP
3275,0000503421,B 9507 PEU,BU/25JJ05/ANDRI
3276,0000503421,B 9647 PEU,BU/25CT02/RIKI
3277,0000503421,B 9279 PXS,1T.BUILT UP
3278,0000503421,B 9530 PEU,1T.BUILT UP
3279,0000503421,B 9634 PEU,1T.BUILT UP
3280,0000505138,B 9148 TEY,1.KUBIKASI
3281,0000503421,B 9634 PEU,1T.BUILT UP
3282,0000503421,B 9284 PXS,1T.BUILT UP
3283,0000505138,B 9737 TEW,BU/25JT08/INDRA
3284,0000503421,B 9298 PXS,1T.BUILT UP
3285,0000505138,B 9490 TEX,1.KUBIKASI
3286,0000505138,B 9077 TEY,BU/25CT02/RIKI
3287,0000505138,B 9230 TEV,1.KUBIKASI
3288,0000505138,B 9032 TEY,1.KUBIKASI
3289,0000503421,B 9296 PXS,1T.BUILT UP
3290,0000505138,B 9192 TEX,1.KUBIKASI
3291,0000505138,B 9964 TEY,KUBIKASI
3292,0000505138,B 9230 TEV,1.KUBIKASI
3293,0000503421,B 9622 PEU,BU/25CT02/RIKI
3294,0000505138,B 9010 TEY,BU/25CT02/RIKI
3295,0000505138,B 9072 TEW,BU/25JT08/ANDRI
3296,0000503421,B 9298 PXS,3T.BUILT UP
3297,0000505138,B 9059 TEY,BU/25CT02/RIKI
3298,0000505733,B 9074 VEU,1.KUBIKASI
3299,0000505339,B 9641 BXS,1T.BUILT UP
3300,0000505339,B 9638 BXS,1T.BUILT UP
3301,0000503421,B 9785 PEU,2T.BUILT UP
3302,0000503421,B 9731 PEU,1T.BUILT UP
3303,0000505138,B 9712 TEV,BU/25CT02/DEDI
3304,0000505138,B 9790 TXT,BU/18CT08/ANDRI
3305,0000505138,B 9439 TEV,BU/25CT02/RIKI
3306,0000502777,B 9091 BEU,1T.BUILT UP
3307,0000505138,B 9148 TEV,1T.BUILT UP
3308,0000505138,B 9388 TEW,1.KUBIKASI
3309,0000503421,B 9279 PXS,1T.BUILT UP
3310,0000505138,B 9301 TEY,BU/25CT02/HASAN
3311,0000505145,N 7778 UQ,2T.BUILT UP
3312,0000501246,B 9888 UO,1T.BUILT UP
3313,0000505145,N 7778 UQ,2T.BUILT UP
3314,0000505138,B 9790 TEW,BU/25CT02/HASAN
3315,0000502019,B 9859 BEU,1T.BUILT UP
3316,0000502019,B 9866 BEU,1T.BUILT UP
3317,0000505138,B 9027 TEX,BU/25JT08/INDRA
3318,0000505138,B 9010 TEY,BU/25JT08/ANDRI
3319,0000505138,B 9354 TEY,BU/25CT02/DEDI
3320,0000507018,N 8066 UV,BU/25CT02/RIKI
3321,0000507018,N 9925 UV,BU/25CT02/RIKI
3322,0000503421,B 9284 PXS,1T.BUILT UP
3323,0000505339,B 9641 BXS,3T.BUILT UP
3324,0000505138,B 9241 TEX,KUBIKASI
3325,0000503421,B 9263 PXS,2T.BUILT UP
3326,0000503421,B 9634 PEU,1T.BUILT UP
3327,0000503421,B 9284 PXS,1T.BUILT UP
3328,0000507018,N 9925 UW,BU/25CT02/DEDI
3329,0000503421,B 9298 PXS,1T.BUILT UP
3330,0000505138,B 9590 TEW,BU/25CT02/RIKI
3331,0000505138,B 9490 TEX,1.KUBIKASI
3332,0000505138,B 9059 TEY,BU/25CT02/RIKI
3333,0000503421,B 9298 PXS,1T.BUILT UP
3334,0000505138,B 9934 TEX,BU/25CT02/RIKI
3335,0000507018,N 8066 UV,BU/25CT02/DEDI
3336,0000505733,B 9074 VEU,1.KUBIKASI
3337,0000505339,B 9638 BXS,1T.BUILT UP
3338,0000503421,B 9731 PEU,1T.BUILT UP
3339,0000503421,B 9296 PXS,2T.BUILT UP
3340,0000503421,B 9298 PXS,1T.BUILT UP
3341,0000505138,B 9010 TEY,Build Up
3342,0000505138,B 9134 TEY,BU/25CT02/DEDI
3343,0000503421,B 9298 PXS,1T.BUILT UP
3344,0000505138,B 9025 TEX,1.KUBIKASI
3345,0000505138,B 9361 TEW,1.KUBIKASI
3346,0000505138,B 9964 TEY,KUBIKASI
3347,0000503421,B 9296 PXS,1T.BUILT UP
3348,0000502777,B 9091 BEU,1T.BUILT UP
3349,0000505138,B 9872 TEW,Build Up
3350,0000503421,B 9284 PXS,1T.BUILT UP
3351,0000505138,B 9027 TEX,1.KUBIKASI
3352,0000505138,B 9285 TEW,BU/25CT02/HASAN
3353,0000503421,B 9284 PXS,1T.BUILT UP
3354,0000505138,B 9790 TEW,BU/25JT08/ANDRI
3355,0000505138,B 9590 TEW,BU/25CT02/HASAN
3356,0000503421,B 9693 PEU,1T.BUILT UP
3357,0000505138,B 9069 TEY,BU/25CT02/RIKI
3358,0000507018,N 8074 UV,BU/25CT02/RIKI
3359,0000503421,B 9655 PEU,1T.BUILT UP
3360,0000505138,B 9573 TEY,KUBIKASI
3361,0000505138,B 9027 TEX,1.KUBIKASI
3362,0000505138,B 9174 TEY,Kubikasi
3363,0000503421,B 9732 PEU,1T.BUILT UP
3364,0000503421,B 9022 PXS,CD/8FCT01/HASAN
3365,0000505138,B 9118 TEV,1.KUBIKASI
3366,0000505138,B 9287 TXT,1.KUBIKASI
3367,0000505138,B 9396 TEV,Build Up
3368,0000505138,B 9780 TEW,1.KUBIKASI
3369,0000505138,B 9725 TEU,1.KUBIKASI
3370,0000506766,D 9724 AE,2T.BUILT UP
3371,0000505769,B 9388 FYU,BU/GBCT01/RIKI
3372,0000503421,B 9728 PEU,BU/25CT02/DEDI
3373,0000505138,B 9557 TEY,1.KUBIKASI
3374,0000505733,B 9074 VEU,1.KUBIKASI
3375,0000503421,B 9290 PXS,2T.BUILT UP
3376,0000505138,B 9727 TEU,BU/25CT02/RIKI
3377,0000503421,B 9290 PXS,1T.BUILT UP
3378,0000505339,B 9395 BXS,3T.BUILT UP
3379,0000503421,B 9279 PXS,1T.BUILT UP
3380,0000503421,B 9530 PEU,2T.BUILT UP
3381,0000503421,B 9745 PEU,2T.BUILT UP
3382,0000503421,B 9265 PXS,1T.BUILT UP
3383,0000503421,B 9284 PXS,1T.BUILT UP
3384,0000507018,N 8869 UW,BU/25CT02/RIKI
3385,0000506865,B 9254 XQ,BUILT UP
3386,0000503421,B 9632 PEU,BU/25CJ01/HASAN
3387,0000503421,B 9768 PEU,1T.BUILT UP
3388,0000505138,B 9489 TEV,KUBIKASI
3389,0000503421,B 9785 PEU,1T.BUILT UP
3390,0000504927,B 9627 BEU,BU/20KT06/FADIL
3391,0000505339,B 9395 BXS,1T.BUILT UP
3392,0000502019,B 9786 FEU,1T.BUILT UP
3393,0000507018,N 8066 UV,BU/25CT02/DEDI
3394,0000503421,B 9655 PEU,1T.BUILT UP
3395,0000501246,B 9556 PEU,BU/GBCT01/RIKI
3396,0000503421,B 9731 PEU,1T.BUILT UP
3397,0000503421,B 9561 PEU,BU/25JT08/ANDRI
3398,0000505138,B 9712 TEV,BU/25CB03/RIKI
3399,0000503421,B 9505 PEU,3T.BUILT UP
3400,0000503421,B 9622 PEU,BU/25CT02/RIKI
3401,0000505138,B 9905 TEV,BU/25CJ01/RIKI
3402,0000503421,B 9530 PEU,2T.BUILT UP
3403,0000503421,B 9662 PEU,BU/20CT02/RIKI
3404,0000503421,B 9728 PEU,BU/20CT02/HASAN
3405,0000503421,B 9296 PXS,1T.BUILT UP
3406,0000505138,B 9304 TEX,KUBIKASI
3407,0000505467,B 9010 UDB,BU/20CT08/INDRA
3408,0000503421,B 9634 PEU,1T.BUILT UP
3409,0000505138,B 9411 TEV,BU/25JT08/ANDRI
3410,0000505733,B 9074 VEU,1.KUBIKASI
3411,0000505339,B 9638 BXS,1T.BUILT UP
3412,0000503421,B 9785 PEU,2T.BUILT UP
3413,0000503421,B 9644 PEU,BU/25CB03/RIKI
3414,0000505339,B 9395 BXS,3T.BUILT UP
3415,0000503421,B 9279 PXS,1T.BUILT UP
3416,0000505769,A 9035 ZN,BU/GBCT01/DEDI
3417,0000505138,B 9780 TEW,1.KUBIKASI
3418,0000505138,B 9590 TEW,1KUBIKASI
3419,0000505138,B 9112 TEZ,KUBIKASI
3420,0000505138,B 9027 TEX,1.KUBIKASI
3421,0000503421,B 9284 PXS,1T.BUILT UP
3422,0000505138,B 9737 TEW,BU/25JT08/INDRA
3423,0000505138,B 9032 TEY,1.KUBIKASI
3424,0000503421,B 9298 PXS,1T.BUILT UP
3425,0000507018,N 9964 UW,BU/25CT02/HASAN
3426,0000505138,B 9027 TEX,1T.BUILT UP
3427,0000503421,B 9510 PEU,3T.BUILT UP
3428,0000505138,B 9712 TEV,BU/25CT02/DEDI
3429,0000503421,B 9510 PEU,1T.BUILT UP
3430,0000505138,B 9277 TEW,BU/25CT02/RIKI
3431,0000503421,B 9284 PXS,1T.BUILT UP
3432,0000505138,B 9494 TEV,1.KUBIKASI
3433,0000505138,B 9939 TEV,1.KUBIKASI
3434,0000505339,B 9638 BXS,1T.BUILT UP
3435,0000505138,B 9032 TEY,BUILT UP
3436,0000505138,B 9060 TEY,KUBIKASI
3437,0000505145,N 8571 UR,2T.BUILT UP
3438,0000505138,B 9863 TEY,1.KUBIKASI
3439,0000507018,N 9964 UW,BU/25CT02/RIKI
3440,0000505138,B 9148 TEV,1T.BUILT UP
3441,0000505138,B 9134 TEY,1.KUBIKASI
3442,0000503421,B 9284 PXS,1T.BUILT UP
3443,0000502777,B 9076 BEU,1T.BUILT UP
3444,0000505733,B 9091 VEU,1.KUBIKASI
3445,0000505733,B 9681 PEU,1.KUBIKASI
3446,0000505138,B 9059 TEY,BU/25CT02/RIKI
3447,0000502777,B 9091 BEU,1T.BUILT UP
3448,0000505138,B 9388 TEW,1.KUBIKASI
3449,0000503421,B 9279 PXS,1T.BUILT UP
3450,0000505138,B 9010 TEY,BU/25CT02/RIKI
3451,0000506766,D 9893 AE,2T.BUILT UP
3452,0000505138,B 9148 TEV,Build Up
3453,0000505138,B 9490 TEX,1.KUBIKASI
3454,0000505769,D 9876 AE,BU/GBCT01/DEDI
3455,0000505138,B 9062 TEY,BU/25JT08/INDRA
3456,0000503421,B 9296 PXS,1T.BUILT UP
3457,0000503421,B 9530 PEU,2T.BUILT UP
3458,0000503421,B 9745 PEU,2T.BUILT UP
3459,0000503421,B 9265 PXS,1T.BUILT UP
3460,0000503421,B 9284 PXS,1T.BUILT UP
3461,0000502777,B 9076 BEU,1T.BUILT UP
3462,0000505138,B 9304 TEX,1.KUBIKASI
3463,0000503421,B 9298 PXS,BUILT UP
3464,0000502019,B 9022 FEV,1T.BUILT UP
3465,0000502019,B 9894 BEU,1T.BUILT UP`
3466,0000503421,B 9530 PEU,1T.BUILT UP
3467,0000502019,B 9022 FEV,1T.BUILT UP
3468,0000505339,B 9395 BXS,1T.BUILT UP
3469,0000505138,B 9304 TEX,KUBIKASI
3470,0000505138,B 9134 TEY,BU/25CT02/DEDI
3471,0000503421,B 9530 PEU,3T.BUILUP
3472,0000505138,B 9365 TEW,BU/25JT08/INDRA
3473,0000503421,B 9284 PXS,3T.BUILT UP
3474,0000505138,B 9112 TEZ,KUBIKASI
3475,0000502019,B 9649 KEU,2T.BUILT UP
3476,0000505138,B 9905 TEV,BU/25CJ01/RIKI
